Model,Sampler,PR_AUC,ROC_AUC,F1_Score,Recall,Lift_Top10,Gain_Top10,Time_Sec
RandomForest,SMOTE_Tomek,0.3981282226870483,0.8696296172417086,0.3970717423133236,0.3796192609182531,7.122384863878395,0.7122060470324748,32.04692220687866
LightGBM,Over_BORDER_SMOTE,0.39421034938496125,0.8967705903961648,0.264192439862543,0.538073908174692,6.99919896214465,0.6998880179171333,3.073214292526245
XGBoost,Over_SMOTE,0.39380819915568577,0.8845731728281288,0.35773170122408193,0.4008958566629339,6.9488047296172075,0.6948488241881299,2.2471189498901367
LightGBM_Internal,Passthrough,0.39308709192581603,0.8934113195257521,0.1261684578855286,0.7066069428891377,7.015997039653797,0.7015677491601344,2.303931951522827
XGBoost,SMOTE_Tomek,0.3929413059135185,0.8819741054105763,0.35741064733816547,0.40033594624860025,6.8928111379200505,0.6892497200447928,9.479134798049927
LightGBM,Under_TomekLinks,0.3924752141974501,0.9038148528760044,0.4143264143264143,0.28499440089585665,7.060791913011522,0.706047032474804,8.564730405807495
XGBoost,Passthrough,0.3908804803174103,0.8829217733187446,0.4138785625774473,0.280515117581187,6.7248303628285795,0.6724524076147816,2.467557668685913
CatBoost,Over_ROS,0.39006462160709077,0.8677556441482989,0.3977832512315271,0.3617021276595745,6.517654073549099,0.6517357222844344,48.49371838569641
XGBoost,Under_TomekLinks,0.38996565615431084,0.8843694838460844,0.40682095006090135,0.280515117581187,6.803221391204599,0.6802911534154535,8.664872646331787
XGBoost,Over_ROS,0.3888485230505711,0.8705212931423144,0.38629651506202006,0.3661814109742441,6.377670094306205,0.6377379619260918,2.1493847370147705
CatBoost,Over_BORDER_SMOTE,0.38731120822125625,0.8752742791991532,0.316988416988417,0.4596864501679731,6.674436130301138,0.6674132138857782,52.827839612960815
XGBoost,Over_BORDER_SMOTE,0.3859878382427167,0.8839464916267594,0.2913838120104439,0.4686450167973124,6.68563484864057,0.6685330347144457,3.169768810272217
GradientBoosting,Over_ROS,0.3849273236296806,0.9057649649875487,0.37317008251264305,0.39249720044792835,7.239971406442425,0.7239641657334827,41.859732151031494
CatBoost,SMOTE_ENN,0.3840602349601803,0.8905545581239516,0.31906614785992216,0.43617021276595747,7.07758999052067,0.7077267637178052,52.93355059623718
GradientBoosting,Over_SMOTE,0.3838238668722512,0.9052525446453696,0.35633871757219776,0.4076147816349384,7.200775892254415,0.7200447928331467,46.06191325187683
GradientBoosting,SMOTE_Tomek,0.38222257198725107,0.9050851016038606,0.3586983117200881,0.41041433370660696,7.183977814745269,0.7183650615901456,54.03506112098694
Balanced_Bagging,Under_TomekLinks,0.37670232795859754,0.8522339102579239,0.3112545074966787,0.45912653975363943,6.752827158677158,0.6752519596864501,11.915079355239868
Balanced_Bagging,Passthrough,0.37473682234183,0.8518359021351491,0.3145809414466131,0.46024636058230683,6.864814342071472,0.6864501679731243,7.5330963134765625
GradientBoosting,Passthrough,0.3721833781811219,0.8993268196528111,0.35125448028673834,0.21948488241881298,7.172779096405837,0.7172452407614781,40.837652921676636
XGBoost,SMOTE_ENN,0.3681431964599725,0.8929593337744292,0.31409995936611135,0.4328107502799552,6.988000243805218,0.6987681970884658,9.78766393661499
BalancedRandomForest,SMOTE_Tomek,0.36716252532692767,0.8823308469423234,0.20014812071838547,0.6052631578947368,6.926407292938346,0.6926091825307951,14.46792221069336
GradientBoosting,SMOTE_ENN,0.3671593981137391,0.8997697398934629,0.3267451640033642,0.43505039193729006,7.200775892254415,0.7200447928331467,50.5653510093689
GradientBoosting,Under_TomekLinks,0.3666077757543016,0.8985667450171542,0.35559486952675806,0.22508398656215006,7.172779096405837,0.7172452407614781,45.35257387161255
LogisticRegressionCV_linear,Under_NearMiss,0.36642909464458656,0.7261234190151942,0.02548237998581595,0.8751399776035834,2.670894323954398,0.26707726763717804,2.6311793327331543
BalancedRandomForest,Over_SMOTE,0.36576746765603474,0.8826432302701672,0.1958067456700091,0.6013437849944009,6.954404088786923,0.6954087346024636,8.162872791290283
CatBoost_Internal,Passthrough,0.3652015340846779,0.840065734195002,0.15186407923343265,0.5279955207166853,6.058506621632409,0.6058230683090705,50.10382795333862
RandomForest,Over_BORDER_SMOTE,0.36276698911226063,0.8686639197557452,0.37553418803418803,0.39361702127659576,7.139182941387542,0.713885778275476,34.152666330337524
BalancedRandomForest,Passthrough,0.3608565363514083,0.9010833339999624,0.10635668494631961,0.770996640537514,7.2455707656121415,0.7245240761478163,3.35945200920105
BalancedRandomForest,Under_TomekLinks,0.3607203487668315,0.9001294587128176,0.10428105202534076,0.7603583426651735,7.195176533084701,0.719484882418813,9.76414680480957
XGBoost_Internal,Passthrough,0.358789272932846,0.8355144694374295,0.144979388659874,0.5218365061590146,5.901724564880369,0.5901455767077267,2.0852599143981934
GradientBoosting,Over_BORDER_SMOTE,0.3427764485096999,0.8974854018870664,0.21203438395415472,0.58006718924972,6.982400884635503,0.6982082866741322,64.85784840583801
RandomForest,Over_ROS,0.337976526851694,0.8335160862994365,0.3919388464211258,0.3157894736842105,6.282480988421037,0.6282194848824189,22.86825919151306
BalancedRandomForest,Over_BORDER_SMOTE,0.3346408622864191,0.8803889630296301,0.2558068459657702,0.4686450167973124,7.206375251424131,0.7206047032474804,24.635181427001953
RandomForest,SMOTE_ENN,0.3111171373034116,0.8523861931248377,0.28434382194934765,0.4148936170212766,7.2455707656121415,0.7245240761478163,30.4310142993927
