Model,Sampler,PR_AUC,ROC_AUC,F1_Score,Recall,Lift_Top10,Gain_Top10,Time_Sec
BalancedRandomForest,Under_TomekLinks,0.31916363367290407,0.9002888474587001,0.10527121107795884,0.7704367301231803,7.178378455575553,0.7178051511758119,106.15316796302795
Balanced_Bagging,SMOTE_ENN,0.3190041032891585,0.7683656457761618,0.3256491142926474,0.37569988801791715,5.912923283219801,0.5912653975363942,133.37913393974304
BalancedRandomForest,Passthrough,0.31220823787546576,0.8993479263515466,0.10446503791069923,0.7637178051511758,7.178378455575553,0.7178051511758119,3.1649632453918457
BalancedRandomForest,Over_SMOTE,0.2931172607685134,0.8664494602514103,0.23804067602406187,0.4652855543113102,6.411266249324499,0.641097424412094,4.890032529830933
BalancedRandomForest,SMOTE_Tomek,0.29303792838213005,0.8668551056241166,0.23050283972849425,0.4658454647256439,6.4168656084942155,0.6416573348264277,130.8232524394989
GradientBoosting,Over_BORDER_SMOTE,0.2826878090362726,0.8971159042317778,0.2649379932356257,0.39473684210526316,6.99919896214465,0.6998880179171333,24.435128688812256
RandomForest,Over_BORDER_SMOTE,0.28067954612509477,0.829879112912697,0.33049277510188957,0.24972004479283313,6.797622032034884,0.6797312430011199,13.079625368118286
BalancedRandomForest,SMOTE_ENN,0.2681132592218831,0.8637287893940881,0.2581350834016954,0.528555431131019,7.217573969763563,0.7217245240761478,130.55108332633972
RandomForest,SMOTE_ENN,0.2622545720115018,0.816582040849146,0.31101021566401815,0.3068309070548712,6.887211778750335,0.6886898096304591,135.80378365516663
RusBoost,Under_TomekLinks,0.24880369994190882,0.8158060733910508,0.08021701220693664,0.6954087346024636,5.392182880436239,0.5391937290033595,109.60830283164978
RandomForest,Over_ROS,0.2434557947986831,0.8124788989370171,0.2949681897050318,0.2855543113101904,6.232086755893596,0.6231802911534154,9.518274545669556
BalancedRandomForest,Over_BORDER_SMOTE,0.2421761313432129,0.8585443961341288,0.25401010766864424,0.3236282194848824,7.015997039653797,0.7015677491601344,11.861172676086426
EasyEnsemble,SMOTE_ENN,0.23923921080593016,0.8811228137031567,0.09770612829108441,0.7262038073908175,6.562448946906824,0.6562150055991042,133.35827159881592
SVC_linear,Passthrough,0.23915967079393952,0.8517263108995726,0.15858585858585858,0.08790593505039193,6.271282270081607,0.6270996640537514,2.006692886352539
SVC_linear,Under_TomekLinks,0.23775742710834435,0.8522098166102905,0.15850580514891469,0.08790593505039193,6.276881629251322,0.6276595744680851,106.91375303268433
LogisticRegression_linear,SMOTE_Tomek,0.23608043324267466,0.871174066268181,0.28974552784076596,0.3219484882418813,6.646439334452559,0.6646136618141097,135.84166145324707
